geo\time,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Croatia,:,:,0,:,:,:,:,:,:,:,:,:,3.1,2.8,2.3,4,8.3,14.7,14.9,16.5,18,21,23.6
Italy,4.8,6.4,9.3,11,12.1,14.2,17.8,14.8,16.3,17.6,18.5,19.2,25,23.8,29.7,31,35.5,38.4,39.4,41.6,44.3,45.9,47.7
Cyprus,0,2.8,3.2,2.9,3.1,3,3.1,3.2,3.1,3.2,3.7,4.2,5.2,7.3,8.3,10.7,12.6,13.6,14.6,16.8,17.9,17.2,16.1
Latvia,0,0,0,0,0,0,0.4,0.4,2.3,4.6,3.8,4.5,5,6.4,7.7,9.4,9.7,14.7,25.9,27,28.7,25.2,23.3
Lithuania,0,0,0,0,0,0,0,0,0,1.9,1.9,1.9,7.5,8.5,8.5,4.9,19.9,23.5,27.8,30.5,33.1,48,48.1
Luxembourg,20,20.2,26.9,30.8,30.6,36.1,37.2,38.1,42.5,41.5,43.5,43.7,45,46,46.2,46.5,46.4,47.4,46.6,47.7,47.4,48.2,48.3
Hungary,1.6,1.6,1.6,1.6,1.6,1.6,1.6,2.5,3.5,11.8,9.6,10.4,12.1,15.2,15.4,19.6,22,25.5,26.4,30.5,32.2,34.7,35
Malta,13.7,12.2,10.8,9.6,7.2,10.1,9,5.1,6.5,6.4,8.7,13.4,4.1,3.6,3.7,5.2,9,9.7,8.1,7.4,6.7,7,6.4
Netherlands,39.7,41.5,43.6,43.9,43.8,44.1,43.7,45.3,45.6,46.9,46.7,46.8,48.3,48.4,49.1,49.2,49.1,49.4,49.8,50.9,51.8,53.1,54.2
Austria,50.5,62.1,63.5,64.4,63.5,63.4,64.3,62.5,64.2,57.4,58.3,59.2,60.2,63.2,61.9,59.4,56.7,57.7,57.7,56.3,56.9,57.6,57.7
Poland,1.8,1.9,3,2,2,2.1,4.1,3.1,2.8,4.9,5.6,6.9,7.7,10.5,13.2,16.3,11.4,12,15.1,26.5,32.5,34.8,33.8
